Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score
LIFT Impact Partners,LIFT Impact,Cold,sage unsupressed,13,nonprofit organization management,farshogar.irani@gmail.com,http://www.liftpartners.ca,http://www.linkedin.com/company/lift-impact-partners,https://facebook.com/pages/LIFT-Philanthropy-Partners/43418980884,https://twitter.com/liftpartners,777 Hornby St,Vancouver,British Columbia,Canada,V6Z 1S4,"777 Hornby St, Vancouver, British Columbia, Canada, V6Z 1S4","notforprofit sector, venture philanthropy, physical activity, employment, health, education, skills development, non-profit organizations, social outcomes, impact data collection, impact outcome tracking, social impact measurement, impact measurement tools, impact capacity, impact partnerships, impact analysis, impact impact reporting, impact initiatives, impact data, impact scaling strategies, social impact consulting, impact measurement for social impact funds, impact measurement for government-funded projects, organizational effectiveness, impact evaluation techniques, impact measurement training, social impact, impact measurement for nonprofit scaling, impact measurement for impact investing, impact data analytics, impact metrics, impact performance metrics, impact partnership development, impact frameworks, impact strategy, impact programs, social services, impact data management, impact measurement for social enterprises, impact measurement for impact partnerships, impact impact measurement systems, impact measurement for social innovation, social change, impact development, impact measurement and evaluation, impact impact growth strategies, partnership support, capacity-building, impact measurement for social impact investing, impact impact analysis, impact measurement for impact accelerators, social purpose organizations, impact measurement for community organizations, nonprofit organization management, impact measurement for inclusion initiatives, impact strategy development, impact growth, impact support, impact consulting services, impact measurement and management, impact evaluation, impact measurement for impact networks, community development, disability impact, impact measurement for impact evaluation frameworks, impact measurement for social finance, impact reports, impact consulting, impact scaling, impact analysis methods, impact reporting frameworks, impact data visualization, impact impact assessment, impact capacity-building for spos, impact capacity support, impact measurement for social impact bonds, impact measurement, impact assessment, impact reporting, impact measurement for employment programs, impact program evaluation, impact impact evaluation tools, strategic coaching, community-led solutions, impact measurement for impact ecosystems, impact impact management, community impact, impact impact data collection, b2b, non-profit, government, consulting, services",'+1 778-327-5150,"Outlook, Microsoft Office 365, Google Analytics, Mobile Friendly, YouTube, Nginx, Google Font API, Remote, TikTok, AI, Reviews",,,,,10000000,,689b970df6b7b900010dbc18,8399,81331,"LIFT Impact Partners is a national non-profit organization based in Vancouver, British Columbia. Originally known as LIFT Philanthropy Partners, it evolved from the 2010 Legacies Now initiative, which aimed to leverage the Vancouver 2010 Olympic and Paralympic Winter Games for social and economic benefits in the region. In 2021, the organization rebranded to better reflect its mission of fostering an inclusive Canada where all communities thrive.

The organization empowers social purpose organizations (SPOs) across Canada through strategic coaching, capacity building, and partner network supports. LIFT Impact Partners focuses on enhancing the operational capabilities of SPOs and fostering collaboration to address complex social issues. One of its notable initiatives is the ""Inclusion with Impact"" program, which aims to strengthen the capacity of organizations serving people with disabilities. LIFT Impact Partners is dedicated to creating measurable impact and has reported significant outcomes in terms of clients served and communities reached.",2001,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6741cd41139a9e0001ff11cf/picture,,,,,
Brant United Way,Brant United Way,Cold,sage unsupressed,15,nonprofit organization management,farshogar.irani@gmail.com,http://www.brantunitedway.org,http://www.linkedin.com/company/brant-united-way,https://facebook.com/BrantUnitedWay,https://twitter.com/brantunitedway,,Brantford,Ontario,Canada,,"Brantford, Ontario, Canada","non-profit organizations, community collaboration, community outreach, community improvement, donor impact, community grant review, youth mentorship, impact panels, volunteer review, local volunteer programs, virtual application review, volunteer engagement, mental health support, impact panel training, community resilience, grant evaluation, charitable programs, community impact, donor contributions, community services funding, corporate donations, food assistance, community development, community support programs, senior services, community funding, volunteer review process, community grants, local donations, local partnerships, community voice in funding, community impact panels, local charities, food security, local impact funding, family support, community-driven funding, community safety, nonprofit organization, support services, volunteer scoring, local impact assessment, community impact assessment, local organization, community well-being, annual campaign, fundraising campaigns, community impact evaluation, fundraising events, funded programs, non-profit, services, nonprofit organization management",'+1 519-752-7848,"Outlook, Google Cloud Hosting, Salesforce, MailChimp SPF, Microsoft Office 365, Shopify, Shutterstock, Wix, Varnish, Mobile Friendly, WordPress.org, Bootstrap Framework, Google Analytics, Google Tag Manager, YouTube, Nginx, reCAPTCHA, Google Font API, Google Maps (Non Paid Users), Typekit, Apache, Google Maps, AddThis, OpenSSL, Data Analytics, Remote, AI",,,,,8400000,,689b9710f6b7b900010dbfa0,8399,81341,"Brant United Way has proudly been supporting our community, which includes the City of Brantford, the County of Brant, and Six Nations of the Grand River, for 75 years.

In supporting Brant United Way, you help fund dozens of local services and programs making our community stronger.

Brant United Way is a key part of ensuring there are important services and programs in our community available for everyone.",1948,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66ea6f896d9503000162acb4/picture,,,,,
British Columbia Law Institute,British Columbia Law Institute,Cold,sage unsupressed,14,nonprofit organization management,farshogar.irani@gmail.com,http://www.bcli.org,http://www.linkedin.com/company/british-columbia-law-institute,https://www.facebook.com/BCLawInstitute/,https://www.twitter.com/BCLawInstitute,1822 East Mall,Vancouver,British Columbia,Canada,V6T 1Z1,"1822 East Mall, Vancouver, British Columbia, Canada, V6T 1Z1","legal research, public outreach, law reform, educational tools, non-profit organizations, community law reform, family law, elder law, law and legal studies, elder abuse resources, gender diversity in legal writing, law and legal development, canadian telecommunication law, law practice, law and legal recommendations, legal literacy, law and cultural competence, housing policy, wills and estates, land use law, social justice law, law and policy analysis, access to justice, public hearings, housing law, gender and law, legal tools for vulnerable populations, law and legal consultation, law and indigenous rights, disability law, legal and social policy for older women, environmental law, law and access to justice, law and legal scholarship, law and legal analysis, law and legal policy, property law, law and social justice, criminal law, legal and ethical issues in ai, law and legal system, law and social policy, law and legal research, undue influence in wills, indigenous law, legal recognition of indigenous laws, law and policy development, law and legal projects, technology in law, law and legal resources, trauma-informed legal writing, legal analysis, climate law, public legal education, trauma-informed law, mental capacity law, urban law, law and community health, law and legal education, public policy, criminal ai lifecycle project, law and systemic reform, public participation in law, legal reform for housing supply, reconciliation and indigenous governance, law and human rights, law and environmental assessment, reconciliation law, law and community engagement, power of attorney abuse, law and legal reform, law reform reports, indigenous governance, legal services, law and legal advocacy, b2b, non-profit, government, consulting, services, nonprofit organization management",'+1 604-822-0142,"Cloudflare DNS, Outlook, Microsoft Office 365, CloudFlare Hosting, Sendgrid, Google Tag Manager, YouTube, Lucky Orange, Bootstrap Framework, Google Font API, Mobile Friendly, Gravity Forms, Vimeo, WordPress.org, AI",,,,,12020000,,689b9711f6b7b900010dc0f2,8111,54119,"The British Columbia Law Institute is a not for profit legal research and law reform agency - the independent law reform agency of British Columbia. The Canadian Centre for Elder Law (CCEL) is a division of the British Columbia Law Institute. CCEL addresses the concerns of older adults in Canada through legal research, law reform, legal education and public outreach.",1997,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66e55fe389eb7100017e0eed/picture,,,,,
Seva Canada,Seva Canada,Cold,sage unsupressed,15,nonprofit organization management,farshogar.irani@gmail.com,http://www.seva.ca,http://www.linkedin.com/company/seva-canada,https://www.facebook.com/seva.canada,https://twitter.com/sevacanada,2000 W 12th Ave,Vancouver,British Columbia,Canada,V6J 2G2,"2000 W 12th Ave, Vancouver, British Columbia, Canada, V6J 2G2","community ophthalmology, eye care, gender equity, non profit, sustainability, blindness prevention & treatment, pediatrics, eyesight, vision, international development, non-profit organizations, eye care programs, fundraising events, eye health training, remote community outreach, surgical interventions, training and capacity building, medical practice, health, wellness and fitness, advocacy campaigns, low-income countries, patient care, pediatric eye health, local partnerships, gender equity in eye care, public awareness, eye health research, medical training, outreach programs, healthcare infrastructure, blindness prevention, community-led initiatives, program development, cataract surgery, program monitoring, nonprofit organization management, sustainable eye care, global health, research and evaluation, culturally appropriate strategies, vision screening, sight restoration, legacy giving, volunteer programs, donor engagement, vision loss prevention, fundraising, epidemiologic data collection, health systems strengthening, surgical services, monthly donations, healthcare equity, securities donation, non-profit, services, environmental services, renewables & environment, hospital & health care, international trade & development, health, wellness & fitness, fund-raising",'+1 604-713-6622,"Outlook, Backbone JS Library, Drupal, SumoMe, Pantheon, Digital Ocean DNS, Google Tag Manager, Twitter Advertising, Nginx, Google AdWords Conversion, reCAPTCHA, Mobile Friendly, Facebook Custom Audiences, Google AdSense, DoubleClick Conversion, Hotjar, YouTube, DoubleClick, Facebook Login (Connect), Facebook Widget, WordPress.org, SurveyMonkey, Linkedin Marketing Solutions, Bootstrap Framework, Google Dynamic Remarketing, Google Remarketing, SAP, Remote, AI, Render",,,,,7439000,,689b9714f6b7b900010dc330,8399,62141,"Our vision is a world in which no one is needlessly blind or visually impaired.

Seva Canada restores sight and prevents blindness in low- and middle-income countries. Since 1982, Seva donors have given the power of sight to over 5 million people and provided comprehensive eye care to millions more.
 
We work with local partners to create sustainable eye care programs that achieve long-term change, are culturally sensitive and reach those most in need – women, children and people living in extreme
poverty and isolation.
 
We work in some of the poorest places in the world: Benin, Burundi, Cambodia, Ethiopia, India, Madagascar, Nepal, Peru, Tanzania, and Uganda.",1982,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67078b873fa4160001d95bcb/picture,,,,,
Canadian Business Strategy Association (CBSA),Canadian Business Strategy Association,Cold,sage unsupressed,12,nonprofit organization management,farshogar.irani@gmail.com,http://www.thecbsa.org,http://www.linkedin.com/company/canadian-business-strategy-association-cbsa-,https://facebook.com/pages/CBSA-Canadian-Business-Strategy-Association/246132365404007,https://twitter.com/thecbsa,499 Ray Lawson Blvd,Brampton,Ontario,Canada,L6Y 4E6,"499 Ray Lawson Blvd, Brampton, Ontario, Canada, L6Y 4E6","knowledge, confidence & excellence are the core values of cbsa members, core values unity, discipline, non-profit organizations, nonprofit organization management",,"Outlook, Amazon AWS, Mobile Friendly, Google AdSense, IoT, Data Analytics, Reviews, AI",,,,,5424000,,689b9715f6b7b900010dc503,8300,,"The Canadian Business Strategy Association is a not-for-profit professional organization formed with the mandate of bringing together business strategists under a cohesive community in order to facilitate the standardization, advancement and communication within the business strategy profession.

WHAT WE DO:
The CBSA is dedicated to executing the following Goals:
- Uniting Business Strategists under one umbrella 
- Ongoing research within the Business Strategy profession 
- Empowering Business Strategists through knowledge
- Implementing the best practices amongst business strategy professionals

OBJECTIVES:
The Canadian Business Strategy Association is dedicated to implementing the following objectives:
1. Representing and protecting the interests of Business Strategy Professionals.
2. Setting recommended standards for practitioners of Business Strategy.
3. Building and implementing code of ethics among members, in order to improve the 
    quality of work done by Business Strategy Professionals.
4. Providing communicational opportunities for those working in the field of Business Strategy.

ACCREDITED PROFESSIONAL DESIGNATIONS:
CBS - Chartered Business Strategist
ECBS - Executive Chartered Business Strategist
CBSF - Chattered Business Strategy Facilitator
CBSE - Chartered Business Strategy Educator",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67077b6550b7ef000157c2ca/picture,,,,,
Downtown Yonge Business Improvement Area,Downtown Yonge Business Improvement Area,Cold,sage unsupressed,14,nonprofit organization management,farshogar.irani@gmail.com,http://www.downtownyonge.com,http://www.linkedin.com/company/downtown-yonge-business-improvement-area,https://facebook.com/pages/Downtown-Yonge-BIA/129986034347,https://twitter.com/DowntownYonge,40 Dundas St W,Toronto,Ontario,Canada,M5G 2C2,"40 Dundas St W, Toronto, Ontario, Canada, M5G 2C2","nonprofit business association, non-profit organizations, business support, urban planning, public art, festival organization, local business promotion, arts and culture, community partnerships, neighborhood branding, community outreach, public art collaborations, public art installations, cultural storytelling events, illuminite light festival, local arts funding, community safety, safety initiatives, community engagement, neighborhood beautification projects, cultural events, event management, community-driven festivals, local business engagement, neighborhood revitalization, local business support, business resources, public realm, non-profit organization, advocacy, cultural storytelling, cultural programming, event sponsorship, neighborhood marketing, cultural heritage, light festivals, street activations, community development, community workshops, events and activations, community safety programs, community safety outreach, cultural heritage preservation, urban art activations, economic development, arts festivals, neighborhood cultural programming, public space art projects, member resources, community-led activations, yonge street events, public space activation, interactive light installations, public space improvements, urban beautification, neighborhood growth, arts funding, b2b, b2c, non-profit, services, retail, nonprofit organization management, events services",'+1 416-597-0255,"Route 53, Outlook, Microsoft Office 365",,,,,6000000,,689b9715f6b7b900010dc595,8399,81341,"Downtown Yonge is all of Toronto's neighbourhoods in one – a vibrant kaleidoscope of business, family, culture, entertainment and education. The Downtown Yonge Business Improvement Area is the award-winning non-profit organization responsible for ensuring enjoyable experiences for everyone visiting, working and living in Downtown Yonge.

The Downtown Yonge BIA has been doing this since 2001, when it was established along Toronto's iconic Yonge St. We are an association of 2,000+ businesses and property owners, with a  mandate to revitalize and position Downtown Yonge as Canada's premier business, shopping and entertainment destination. We are responsive, inclusive and collaborative, reaching beyond our boundaries to create innovative programs that help drive consistent growth in the community. 

Representing more than $7 billion in commercial real estate, Downtown Yonge is home to exceptional retail such as CF Toronto Eaton Centre, entertainment mainstays including Sankofa Square (formerly Yonge-Dundas Square), the Ed Mirvish Theatre, the Elgin and Winter Garden Theatres and Massey Hall, and a bustling post-secondary community at Toronto Metropolitan University and Toronto Film School. The neighbourhood has over 100,000 residents within a 10-minute walk and sees 60 million pedestrians a year walking on Yonge Street. 

For further information: www.downtownyonge.com.",2001,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/689adff9f4da0f00019d6fe1/picture,,,,,
UrbanArts (Toronto Canada),UrbanArts,Cold,sage unsupressed,18,nonprofit organization management,farshogar.irani@gmail.com,http://www.urbanartstoronto.org,http://www.linkedin.com/company/urbanarts,https://www.facebook.com/urbanartstoronto/,https://twitter.com/UrbanArtsTO,5 Bartonville Ave E,Toronto,Ontario,Canada,M6M 2B1,"5 Bartonville Ave E, Toronto, Ontario, Canada, M6M 2B1","dance, local arts service organization, culinary arts, music production, theatre, visual arts, summer arts programs, laso, community development & engagement, arts & culture, community arts, music, artist development, youth leadership development, social enterprisebusiness development, spoken word, ecoarts, digital & media arts, events planning, after school arts, non-profit organizations, arts, entertainment and recreation, digital storytelling, youth arts development, nonprofit organization, media arts, urban community arts, indigenous arts, digital arts, community arts organization, arts and anti-racism, arts and social change, black lives matter support, youth engagement, community storytelling workshops, arts training, community engagement, arts and reconciliation, urban arts spaces, music programs, mural projects, cultural heritage, employment in arts, neighborhood beautification, community mural projects, youth arts incubator, public art projects, community arts programs, public murals, cultural expression, arts advocacy, arts education, artistic development, arts programming, inclusive arts spaces, dance programs, arts and heritage in toronto, heritage programs, community events, arts incubator, arts festivals, community development, non-profit, services, entertainment, nonprofit organization management",'+1 416-241-5124,"Outlook, Google Cloud Hosting, Mobile Friendly, Nginx, Woo Commerce, reCAPTCHA, Vimeo, WordPress.org, Render, SAP, Flutter, Intuit, React Native, , AI, Remote, Basis, , QuickBooks",,,,,5163000,,689b9716f6b7b900010dc629,8999,71151,"UrbanArts is a progressive, not-for-profit Community Arts Council (CAC)/Local Arts Service Organization (LASO) providing opportunities for diverse cultural expression, artistic development, training and employment to members of urban communities with a focus on youth in central west Toronto; UrbanArts focuses on engaging community through the arts; UrbanArts is an incubator for local arts, with a range of programs led by professional artists in visual, digital, culinary and media arts, theatre, dance and music. As the thread that weaves together generations, UrbanArts has transitioned its program and services to include the broader community, maintaining a focus on youth.

Mission:  UrbanArts is committed to the goal of building inclusive, engaged communities by enriching people's' lives through the arts, culture and heritage, with programs, services and resources delivered within the former City of York boundaries, with a focus on York South-Weston.

Vision:  Enhancing neighbourhoods by engaging and building community through the arts; beginning with a focus on youth, UrbanArts provides the thread that weaves together generations.

Mandate:  UrbanArts is a progressive not-for-profit local arts service organization (LASO) linking the needs of those who create/make art, those who engage the artist as an essential element of their own development, and those who support UrbanArts because it adds value (sense of identity, lifestyle, prosperity) to the neighbourhood.

Manifesto: UrbanArts is committed to accessibility, equity & accountability. Through our innovative arts programs, inclusive space & diverse staff, we are working to create an environment where all of our community feels welcome, safe & celebrated.",1988,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66f8a0a1bff47a00013d17c0/picture,,,,,
Canadian Water and Wastewater Association,Canadian Water and Wastewater Association,Cold,sage unsupressed,11,nonprofit organization management,farshogar.irani@gmail.com,http://www.cwwa.ca,http://www.linkedin.com/company/canadian-water-and-wastewater-association,,https://twitter.com/cwwacepu,,Ottawa,Ontario,Canada,,"Ottawa, Ontario, Canada","water utility management, water resource management, water infrastructure resilience, water regulation, water resource protection, water quality, water conservation, water resources, water policy and standards, water standards, water management, water industry publications, water utilities, water research, water sector collaboration, water system regulation, water sector advocacy, water industry conferences, water treatment technology, water quality improvement, water quality monitoring, water quality assurance, water safety advocacy, water legislation, water sector development, federal water policies, environmental services, water sector networking, water sector international cooperation, water standards development, water professionals, water infrastructure, water industry research, water infrastructure funding, water sustainability, water policy, water industry events, water safety standards, water sector innovation, water policy engagement, water crisis solutions, water treatment, municipal water utilities, water sector partnerships, water quality standards, water innovation, water utility leadership, water safety, b2b, non-profit, services, renewables & environment, nonprofit organization management",'+1 613-747-0524,"Outlook, Microsoft Office 365, Mobile Friendly, Simpli.fi, YouTube, Google AdSense, Gravity Forms, Google Tag Manager, WordPress.org, Google Font API, DoubleClick",,,,,42256000,,689b9717f6b7b900010dc777,1629,22131,"The Canadian Water and Wastewater Association (CWWA) is a national nonprofit organization established in 1986. It represents municipal water and wastewater utilities across Canada, acting as a key advocate for these entities at the federal level. CWWA serves as a liaison between utilities, government agencies, and private sector partners, addressing the need for coordinated environmental policy.

CWWA offers advocacy services, representing municipal water and wastewater agencies in discussions with federal policymakers on regulatory and funding matters. The organization also provides education through career-focused training programs and certification support. Additionally, CWWA facilitates networking opportunities, bringing together utilities, suppliers, and researchers through conferences and policy forums. Its membership includes municipal utilities, private service providers, academic institutions, and government agencies, all focused on advancing the interests of Canada's water sector.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,,,,,
Health Nexus Santé,Health Nexus Santé,Cold,sage unsupressed,18,nonprofit organization management,farshogar.irani@gmail.com,http://www.healthnexus.ca,http://www.linkedin.com/company/health-nexus,https://www.facebook.com/Health-Nexus-380627242526805,https://twitter.com/health_nexus,240 Richmond St W,Toronto,Ontario,Canada,M5V 1V6,"240 Richmond St W, Toronto, Ontario, Canada, M5V 1V6","health equity, early childhood & maternal health, chronic disease prevention, non-profit organizations, indigenous brain story trauma education, health disparities reduction, maternal health, infant health, health literacy, substance use education, health data governance, inclusive health communication, evidence-based education, health promotion in turtle island, public health, indigenous health collaboration, covid-19 education for pregnant women, trauma-informed education, early childhood development, community-led research, health equity data governance, multilingual health education, pregnancy safety, health communication, french-language health resources ontario, international health strategies, community co-design health materials, mental health, knowledge mobilization, child health, public health research, digital health literacy, community engagement, fasd support, health advocacy, first exposure research network, health policy, digital health education, community-based health interventions, reproductive health, public health programs, health disparities, digital tools, collaborative projects, indigenous health, global health promotion ngo, petite enfance communication french resources, health promotion, cultural safety, trauma-informed early childhood, health education resources, fasd resources ontario, multilingual health materials, non-profit, services, nonprofit organization management, health, wellness & fitness, hospital & health care",'+1 647-495-6747,"Outlook, Microsoft Office 365, Apache, Google Font API, Woo Commerce, WordPress.org, Mobile Friendly",,,,,10710000,,689b9718f6b7b900010dc916,8099,61171,"Health Nexus Santé is a non-profit organization based in Toronto, Ontario, dedicated to promoting health in communities across Ontario and beyond for over 25 years. The organization focuses on co-designing and disseminating multilingual, digital, and inclusive education materials aimed at individuals, families, and care providers.

One of its key initiatives is the Best Start program, which supports the development of accessible educational resources to enhance health outcomes and community well-being. Health Nexus Santé collaborates with various partners, including community organizations and health service providers, to create and mobilize knowledge in health and community services. The organization also shares information and resources through platforms like YouTube, reflecting its commitment to inclusivity and accessibility for diverse communities.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66eef09d4d3a3300012d0e2a/picture,,,,,
Parkinson Society British Columbia,Parkinson Society British Columbia,Cold,sage unsupressed,19,nonprofit organization management,farshogar.irani@gmail.com,http://www.parkinson.bc.ca,http://www.linkedin.com/company/parkinson-society-british-columbia,https://facebook.com/pages/Parkinson-Society-British-Columbia/191326604220827,https://twitter.com/ParkinsonsBC,890 W Pender St,Vancouver,British Columbia,Canada,V6C 1J9,"890 W Pender St, Vancouver, British Columbia, Canada, V6C 1J9","medical research, support, health care, charity, campaigning, fundraising, education, information, information education health care medical research support charity campaigning fundraising, healthcare support services, resources & support, support for caregivers, advocacy campaigns, education & exercise events, support group schedules, community programs, virtual physiotherapy services, support for caregivers and families, advocacy, non-profit organizations, virtual physiotherapy, healthcare resources, research support, support group benefits, research grants for parkinson's, support group facilitators, support for young onset parkinson's, community engagement, parkinson's educational materials, support network, community health services, cultural respect in healthcare, support group topics, patient empowerment, support groups online, support services, parkinson's disease support, support group participation, public awareness, indigenous lands acknowledgment, support groups, support group activities, research funding, disease management resources, counselling & healthcare navigation, community outreach programs, support group locations, support group connection, support group meetings, non-profit organization, patient education, b2c, non-profit, services, health, wellness & fitness, philanthropy, nonprofit organization management, fund-raising",'+1 604-662-3240,"Sendgrid, Outlook, Microsoft Office 365, WordPress.org, Google Analytics, MailChimp, reCAPTCHA, Cvent, Mobile Friendly, Gravity Forms, Bootstrap Framework, AddThis, Google Tag Manager, Google Font API, Android",,,,,5452000,,689b9719f6b7b900010dca58,8399,81321,"Established in 1969, Parkinson Society British Columbia is an independent provincial organization. We are governed by a voluntary Board of Directors, is supported entirely by donations from individuals, members, corporations, foundations, and the dedicated efforts of volunteers.

Our mission is to empower the Parkinson's community in British Columbia by providing resources and services to enable self-management, self-reliance, and self-advocacy.",1969,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/672de3db3e7a09000135a3b0/picture,,,,,
